emergencyVehicleType,license_plate,vehicleSupportType,observationDateTime,longitude,latitude,serviceOnDuty
Ambulance,KA40S3812,BLS,2024-01-01T05:19:27+05:30,77.643036,12.921233,YES
Ambulance,KA51H1989,Patient Transport,2024-01-01T05:19:31+05:30,77.719723,13.139676,YES
Ambulance,KA05A7023,ALS,2024-01-01T05:19:31+05:30,77.625583,12.978899,YES
Ambulance,KA03S4981,ALS,2024-01-01T05:39:00+05:30,77.766439,12.964559,YES
Ambulance,KA41Y7419,Patient Transport,2024-01-01T05:46:04+05:30,77.614367,12.880487,YES
Ambulance,KA40H1271,BLS,2024-01-01T05:49:00+05:30,77.652673,12.977266,YES
Ambulance,KA01S3086,Patient Transport,2024-01-01T05:56:23+05:30,77.743804,12.97375,YES
Ambulance,KA40A5474,Patient Transport,2024-01-01T06:08:54+05:30,77.701437,12.935342,YES
Ambulance,KA51H1989,Patient Transport,2024-01-01T06:09:45+05:30,77.605736,13.033681,YES
Ambulance,KA51Y4340,BLS,2024-01-01T06:18:39+05:30,77.603914,12.931928,YES
Ambulance,KA51F5066,BLS,2024-01-01T06:18:57+05:30,77.625065,12.928073,YES
Ambulance,KA01H3141,ALS,2024-01-01T06:20:03+05:30,77.612862,12.9298,YES
Ambulance,KA05U3892,BLS,2024-01-01T06:21:12+05:30,77.65954,13.129496,YES
Ambulance,KA40H1271,BLS,2024-01-01T06:28:12+05:30,77.421622,12.831457,YES
Ambulance,KA03U2497,BLS,2024-01-01T06:28:57+05:30,77.751728,13.084064,YES
Ambulance,KA05A7023,ALS,2024-01-01T06:29:37+05:30,77.627537,12.988349,YES
Ambulance,KA05U3892,BLS,2024-01-01T06:34:00+05:30,77.583241,13.001911,YES
Ambulance,KA51F5066,BLS,2024-01-01T06:38:31+05:30,77.567911,13.029094,YES
Ambulance,KA01K2904,Patient Transport,2024-01-01T06:44:33+05:30,77.750391,12.958736,YES
Ambulance,KA01K2904,Patient Transport,2024-01-01T06:54:15+05:30,77.61789,12.907196,YES
Ambulance,KA40T2179,ALS,2024-01-01T07:06:02+05:30,77.409419,13.036701,YES
Ambulance,KA40K4489,Patient Transport,2024-01-01T07:06:06+05:30,77.561549,12.91342,YES
Ambulance,KA01X9341,BLS,2024-01-01T07:08:06+05:30,77.628631,12.953755,NO
Ambulance,KA04D1727,BLS,2024-01-01T07:11:09+05:30,77.621162,12.937787,YES
Ambulance,KA02N5926,BLS,2024-01-01T07:13:26+05:30,77.58544,12.925181,NO
Ambulance,KA05R6184,BLS,2024-01-01T07:16:35+05:30,77.71423,13.02601,YES
Ambulance,KA51X5676,Patient Transport,2024-01-01T07:19:30+05:30,77.638572,12.903569,YES
Ambulance,KA51F5066,BLS,2024-01-01T07:20:48+05:30,77.568523,13.001349,YES
Ambulance,KA51P3128,ALS,2024-01-01T07:25:51+05:30,77.612508,12.939076,YES
Ambulance,KA40S3812,BLS,2024-01-01T07:26:00+05:30,77.73016,13.011659,YES
Ambulance,KA50H3225,Patient Transport,2024-01-01T07:27:07+05:30,77.665205,12.811532,NO
Ambulance,KA01K2904,Patient Transport,2024-01-01T07:28:52+05:30,77.529784,13.044555,YES
Ambulance,KA04T7543,ALS,2024-01-01T07:33:04+05:30,77.404521,12.810211,YES
Ambulance,KA41X8497,ALS,2024-01-01T07:34:04+05:30,77.675885,12.87094,YES
Ambulance,KA03W1469,Patient Transport,2024-01-01T07:37:05+05:30,77.704463,12.950219,NO
Ambulance,KA40K4489,Patient Transport,2024-01-01T07:37:40+05:30,77.611343,12.923465,NO
Ambulance,KA03P8868,Patient Transport,2024-01-01T07:37:40+05:30,77.744579,12.959416,YES
Ambulance,KA41P6997,ALS,2024-01-01T07:38:05+05:30,77.674994,12.829204,YES
Ambulance,KA40S3812,BLS,2024-01-01T07:40:39+05:30,77.520795,13.028989,NO
Ambulance,KA41X8497,ALS,2024-01-01T07:43:41+05:30,77.623149,12.942063,YES
Ambulance,KA05F1958,BLS,2024-01-01T07:49:42+05:30,77.747164,12.9643,NO
Ambulance,KA05R7687,Patient Transport,2024-01-01T07:53:43+05:30,77.6772,12.823868,YES
Ambulance,KA03F6773,ALS,2024-01-01T07:56:45+05:30,77.637472,12.942148,NO
Ambulance,KA51F5066,BLS,2024-01-01T07:58:35+05:30,77.64606,12.912248,YES
Ambulance,KA03P8868,Patient Transport,2024-01-01T07:59:36+05:30,77.670088,12.917538,YES
Ambulance,KA03A1692,Patient Transport,2024-01-01T08:00:31+05:30,77.546659,12.917564,YES
Ambulance,KA03F6773,ALS,2024-01-01T08:02:33+05:30,77.565232,12.930546,YES
Ambulance,KA40A5474,Patient Transport,2024-01-01T08:08:13+05:30,77.620489,12.929936,YES
Ambulance,KA05F1958,BLS,2024-01-01T08:09:58+05:30,77.580529,12.930482,YES
Ambulance,KA03U2497,BLS,2024-01-01T08:12:02+05:30,77.592246,12.927105,YES
Ambulance,KA05A7023,ALS,2024-01-01T08:12:06+05:30,77.559009,12.998526,YES
Ambulance,KA02D9278,ALS,2024-01-01T08:13:34+05:30,77.666111,12.838844,YES
Ambulance,KA03P8868,Patient Transport,2024-01-01T08:15:52+05:30,77.603285,13.154102,YES
Ambulance,KA51H1989,Patient Transport,2024-01-01T08:16:58+05:30,77.620753,13.020099,YES
Ambulance,KA05F1958,BLS,2024-01-01T08:18:35+05:30,77.535515,13.021917,YES
Ambulance,KA02E1063,Patient Transport,2024-01-01T08:20:29+05:30,77.537104,12.939471,YES
Ambulance,KA41T8500,Patient Transport,2024-01-01T08:24:08+05:30,77.612073,12.910171,NO
Ambulance,KA01X9341,BLS,2024-01-01T08:25:06+05:30,77.702646,12.934286,YES
Ambulance,KA41X8497,ALS,2024-01-01T08:26:27+05:30,77.656534,12.91127,YES
Ambulance,KA02E1063,Patient Transport,2024-01-01T08:27:57+05:30,77.668012,12.980356,YES
Ambulance,KA51M1237,ALS,2024-01-01T08:28:15+05:30,77.756068,12.97356,YES
Ambulance,KA50K3022,ALS,2024-01-01T08:31:03+05:30,77.621574,12.920919,YES
Ambulance,KA03F6773,ALS,2024-01-01T08:32:25+05:30,77.581742,12.8886,YES
Ambulance,KA40T2179,ALS,2024-01-01T08:34:55+05:30,77.548719,13.003632,YES
Ambulance,KA04M6459,Patient Transport,2024-01-01T08:36:58+05:30,77.537942,12.920758,YES
Ambulance,KA51T6207,Patient Transport,2024-01-01T08:38:45+05:30,77.531439,13.034684,YES
Ambulance,KA05U3892,BLS,2024-01-01T08:39:01+05:30,77.492314,13.167218,YES
Ambulance,KA01M6465,BLS,2024-01-01T08:42:41+05:30,77.671958,12.853656,NO
Ambulance,KA04D1727,BLS,2024-01-01T08:44:26+05:30,77.568554,12.996144,YES
Ambulance,KA03D9708,BLS,2024-01-01T08:46:06+05:30,77.541531,13.03146,YES
Ambulance,KA41Y7419,Patient Transport,2024-01-01T08:46:15+05:30,77.631592,13.079131,YES
Ambulance,KA40H1271,BLS,2024-01-01T08:46:21+05:30,77.64616,12.896912,NO
Ambulance,KA04M6459,Patient Transport,2024-01-01T08:49:06+05:30,77.446287,12.838071,NO
Ambulance,KA50J5854,Patient Transport,2024-01-01T08:49:16+05:30,77.516808,12.903153,YES
Ambulance,KA03F6773,ALS,2024-01-01T08:49:59+05:30,77.766648,12.971552,YES
Ambulance,KA51Y4340,BLS,2024-01-01T08:52:09+05:30,77.68627,12.948452,YES
Ambulance,KA02N5926,BLS,2024-01-01T08:52:46+05:30,77.538762,13.037344,YES
Ambulance,KA05R7687,Patient Transport,2024-01-01T08:55:09+05:30,77.743422,12.9757,YES
Ambulance,KA50K3022,ALS,2024-01-01T08:58:07+05:30,77.594776,13.024544,YES
Ambulance,KA01S3086,Patient Transport,2024-01-01T09:01:35+05:30,77.75256,12.96101,YES
Ambulance,KA51P3128,ALS,2024-01-01T09:03:56+05:30,77.619579,12.91997,YES
Ambulance,KA51T6207,Patient Transport,2024-01-01T09:05:44+05:30,77.599634,13.025673,YES
Ambulance,KA03A1692,Patient Transport,2024-01-01T09:08:41+05:30,77.747734,12.956946,YES
Ambulance,KA51Y4340,BLS,2024-01-01T09:11:08+05:30,77.589686,13.173889,YES
Ambulance,KA40S3812,BLS,2024-01-01T09:11:44+05:30,77.43973,13.129233,YES
Ambulance,KA05A7023,ALS,2024-01-01T09:15:07+05:30,77.541505,13.017043,YES
Ambulance,KA50K3022,ALS,2024-01-01T09:15:23+05:30,77.634566,12.931352,YES
Ambulance,KA03U2497,BLS,2024-01-01T09:17:45+05:30,77.671596,12.83318,YES
Ambulance,KA40A5474,Patient Transport,2024-01-01T09:20:58+05:30,77.634662,12.948827,YES
Ambulance,KA05U3892,BLS,2024-01-01T09:21:39+05:30,77.524194,13.002714,YES
Ambulance,KA40T2179,ALS,2024-01-01T09:26:34+05:30,77.627837,12.936053,YES
Ambulance,KA41P6997,ALS,2024-01-01T09:30:48+05:30,77.659594,13.117515,YES
Ambulance,KA40T2179,ALS,2024-01-01T09:34:29+05:30,77.646394,12.976929,YES
Ambulance,KA50K3022,ALS,2024-01-01T09:35:13+05:30,77.702784,12.964426,YES
Ambulance,KA01K2904,Patient Transport,2024-01-01T09:35:37+05:30,77.569837,12.926025,YES
Ambulance,KA40T2179,ALS,2024-01-01T09:38:38+05:30,77.687759,12.837012,YES
Ambulance,KA40V2034,BLS,2024-01-01T09:39:12+05:30,77.621789,12.929835,NO
Ambulance,KA03P8868,Patient Transport,2024-01-01T09:39:30+05:30,77.669743,12.989807,YES
Ambulance,KA03U2278,BLS,2024-01-01T09:45:03+05:30,77.578212,12.927384,YES
Ambulance,KA04T7543,ALS,2024-01-01T09:45:58+05:30,77.65343,12.983969,NO
Ambulance,KA03A1692,Patient Transport,2024-01-01T09:51:05+05:30,77.622447,12.947871,YES
Ambulance,KA04T7543,ALS,2024-01-01T10:03:41+05:30,77.748063,12.912174,YES
Ambulance,KA01M6465,BLS,2024-01-01T10:04:29+05:30,77.626008,12.940766,NO
Ambulance,KA03U2278,BLS,2024-01-01T10:04:44+05:30,77.637705,12.938174,YES
Ambulance,KA05R7687,Patient Transport,2024-01-01T10:09:59+05:30,77.579595,12.934863,YES
Ambulance,KA40H1271,BLS,2024-01-01T10:10:32+05:30,77.643131,12.972145,YES
Ambulance,KA41Y7419,Patient Transport,2024-01-01T10:12:59+05:30,77.598361,13.041614,YES
Ambulance,KA03H4273,ALS,2024-01-01T10:13:22+05:30,77.579876,12.932876,YES
Ambulance,KA03A1692,Patient Transport,2024-01-01T10:13:30+05:30,77.612962,12.910449,YES
Ambulance,KA40V2034,BLS,2024-01-01T10:14:39+05:30,77.707312,12.970301,NO
Ambulance,KA51F5066,BLS,2024-01-01T10:17:45+05:30,77.592148,13.039715,YES
Ambulance,KA05D6805,ALS,2024-01-01T10:18:05+05:30,77.593444,12.930294,YES
Ambulance,KA03H4273,ALS,2024-01-01T10:18:26+05:30,77.59889,13.025319,YES
Ambulance,KA04D3606,BLS,2024-01-01T10:19:23+05:30,77.6895,13.06066,YES
Ambulance,KA41P6997,ALS,2024-01-01T10:26:42+05:30,77.596728,13.038502,YES
Ambulance,KA03P8868,Patient Transport,2024-01-01T10:27:18+05:30,77.568952,13.007016,YES
Ambulance,KA51Y5446,ALS,2024-01-01T10:30:00+05:30,77.695167,12.965812,YES
Ambulance,KA51M1237,ALS,2024-01-01T10:32:31+05:30,77.684419,13.181905,NO
Ambulance,KA03U2497,BLS,2024-01-01T10:33:38+05:30,77.605839,12.929975,YES
Ambulance,KA40V2034,BLS,2024-01-01T10:34:14+05:30,77.701925,12.961683,NO
Ambulance,KA03D9708,BLS,2024-01-01T10:36:22+05:30,77.677053,12.845537,YES
Ambulance,KA51P3128,ALS,2024-01-01T10:37:21+05:30,77.421451,13.109262,YES
Ambulance,KA01X9341,BLS,2024-01-01T10:37:50+05:30,77.631895,12.981206,YES
Ambulance,KA41P6997,ALS,2024-01-01T10:41:32+05:30,77.686029,13.074597,YES
Ambulance,KA05U3892,BLS,2024-01-01T10:41:40+05:30,77.610658,12.933087,YES
Ambulance,KA02E1063,Patient Transport,2024-01-01T10:43:58+05:30,77.547814,12.90895,YES
Ambulance,KA03F6773,ALS,2024-01-01T10:44:51+05:30,77.697956,12.94588,YES
Ambulance,KA03U2278,BLS,2024-01-01T10:45:16+05:30,77.621133,12.926459,YES
Ambulance,KA05F1958,BLS,2024-01-01T10:45:57+05:30,77.666947,12.839575,NO
Ambulance,KA40S3812,BLS,2024-01-01T10:46:07+05:30,77.57424,13.002192,YES
Ambulance,KA03H4273,ALS,2024-01-01T10:46:32+05:30,77.601693,13.032851,YES
Ambulance,KA50H1620,Patient Transport,2024-01-01T10:51:46+05:30,77.636135,12.990022,YES
Ambulance,KA03U2278,BLS,2024-01-01T10:54:31+05:30,77.613319,12.923131,YES
Ambulance,KA51F5066,BLS,2024-01-01T10:55:38+05:30,77.611689,12.931771,YES
Ambulance,KA51H1989,Patient Transport,2024-01-01T10:56:13+05:30,77.652738,12.96289,YES
Ambulance,KA51F5066,BLS,2024-01-01T11:00:55+05:30,77.69536,13.187153,YES
Ambulance,KA40V2034,BLS,2024-01-01T11:01:49+05:30,77.791977,12.931922,YES
Ambulance,KA03D9708,BLS,2024-01-01T11:02:23+05:30,77.638818,12.970165,YES
Ambulance,KA41Y7419,Patient Transport,2024-01-01T11:03:50+05:30,77.611731,12.921257,NO
Ambulance,KA01M6465,BLS,2024-01-01T11:06:33+05:30,77.618728,12.868065,YES
Ambulance,KA02D9278,ALS,2024-01-01T11:07:43+05:30,77.637909,12.934391,YES
Ambulance,KA40T2179,ALS,2024-01-01T11:10:21+05:30,77.581912,12.924583,YES
Ambulance,KA02D9278,ALS,2024-01-01T11:11:09+05:30,77.675511,12.81781,YES
Ambulance,KA03A1692,Patient Transport,2024-01-01T11:12:25+05:30,77.686554,12.969526,YES
Ambulance,KA02N5926,BLS,2024-01-01T11:12:28+05:30,77.611781,13.024135,YES
Ambulance,KA41Y7419,Patient Transport,2024-01-01T11:12:41+05:30,77.57806,12.92908,NO
Ambulance,KA05D6805,ALS,2024-01-01T11:13:46+05:30,77.536125,13.021423,YES
Ambulance,KA51Y4340,BLS,2024-01-01T11:16:39+05:30,77.645195,12.916932,YES
Ambulance,KA50G5585,ALS,2024-01-01T11:17:19+05:30,77.628583,13.020791,YES
Ambulance,KA40A5474,Patient Transport,2024-01-01T11:17:52+05:30,77.553683,12.927027,YES
Ambulance,KA05F1958,BLS,2024-01-01T11:18:58+05:30,77.4258,12.924,YES
Ambulance,KA03H4273,ALS,2024-01-01T11:20:47+05:30,77.734175,12.965266,YES
Ambulance,KA41X8497,ALS,2024-01-01T11:23:46+05:30,77.636218,12.984193,YES
Ambulance,KA40K4489,Patient Transport,2024-01-01T11:28:03+05:30,77.719438,13.116603,YES
Ambulance,KA50H1620,Patient Transport,2024-01-01T11:28:14+05:30,77.663828,12.90141,YES
Ambulance,KA40S3812,BLS,2024-01-01T11:28:23+05:30,77.600376,12.902801,YES
Ambulance,KA51P3128,ALS,2024-01-01T11:29:22+05:30,77.556613,13.083592,YES
Ambulance,KA05A7023,ALS,2024-01-01T11:30:26+05:30,77.61916,12.916183,NO
Ambulance,KA51Y4340,BLS,2024-01-01T11:38:03+05:30,77.627485,12.99597,YES
Ambulance,KA50H3225,Patient Transport,2024-01-01T11:41:35+05:30,77.572735,12.919671,YES
Ambulance,KA03U2278,BLS,2024-01-01T11:43:34+05:30,77.611894,12.908171,YES
Ambulance,KA05A7023,ALS,2024-01-01T11:45:18+05:30,77.623211,13.121794,YES
Ambulance,KA05R6184,BLS,2024-01-01T11:45:56+05:30,77.517436,12.861845,NO
Ambulance,KA40V2034,BLS,2024-01-01T11:46:42+05:30,77.74095,12.98033,YES
Ambulance,KA04T7543,ALS,2024-01-01T11:46:46+05:30,77.709072,12.970658,YES
Ambulance,KA50H1620,Patient Transport,2024-01-01T11:48:00+05:30,77.61223,12.930732,NO
Ambulance,KA03U2278,BLS,2024-01-01T11:49:03+05:30,77.702012,12.955947,YES
Ambulance,KA51X5676,Patient Transport,2024-01-01T11:54:31+05:30,77.445271,13.065556,YES
Ambulance,KA50K3022,ALS,2024-01-01T11:54:56+05:30,77.535953,12.919344,YES
Ambulance,KA50H1620,Patient Transport,2024-01-01T11:55:16+05:30,77.564559,13.120675,YES
Ambulance,KA41X8497,ALS,2024-01-01T11:57:07+05:30,77.576526,13.01492,YES
Ambulance,KA50H3225,Patient Transport,2024-01-01T12:06:12+05:30,77.75163,12.96535,NO
Ambulance,KA05R7687,Patient Transport,2024-01-01T12:08:39+05:30,77.539529,12.955266,YES
Ambulance,KA51X5676,Patient Transport,2024-01-01T12:08:56+05:30,77.633977,12.910493,YES
Ambulance,KA03A1692,Patient Transport,2024-01-01T12:09:50+05:30,77.662039,12.854651,YES
Ambulance,KA05R7687,Patient Transport,2024-01-01T12:21:05+05:30,77.69187,13.021388,YES
Ambulance,KA40S3812,BLS,2024-01-01T12:22:04+05:30,77.63394,12.918281,YES
Ambulance,KA41P6997,ALS,2024-01-01T12:25:26+05:30,77.644464,12.90736,YES
Ambulance,KA50H3225,Patient Transport,2024-01-01T12:26:21+05:30,77.550059,13.036314,YES
Ambulance,KA51M1237,ALS,2024-01-01T12:32:01+05:30,77.688475,12.967636,YES
Ambulance,KA01M6465,BLS,2024-01-01T12:32:07+05:30,77.542866,12.927825,YES
Ambulance,KA02D9278,ALS,2024-01-01T12:34:55+05:30,77.757313,12.9589,YES
Ambulance,KA02D9278,ALS,2024-01-01T12:37:49+05:30,77.623092,12.939326,YES
Ambulance,KA05F1958,BLS,2024-01-01T12:38:54+05:30,77.754222,12.95627,YES
Ambulance,KA51H1989,Patient Transport,2024-01-01T12:40:04+05:30,77.622091,12.916203,YES
Ambulance,KA05A7023,ALS,2024-01-01T12:43:24+05:30,77.648513,12.979417,YES
Ambulance,KA50G5585,ALS,2024-01-01T12:44:33+05:30,77.639295,12.924735,YES
Ambulance,KA50H1620,Patient Transport,2024-01-01T12:52:33+05:30,77.648961,12.911018,YES
Ambulance,KA03U2497,BLS,2024-01-01T12:52:49+05:30,77.63852,12.985048,NO
Ambulance,KA02D9278,ALS,2024-01-01T12:53:10+05:30,77.621029,12.974768,YES
Ambulance,KA40V2034,BLS,2024-01-01T12:53:18+05:30,77.467635,12.966437,NO
Ambulance,KA02D9278,ALS,2024-01-01T12:54:52+05:30,77.663746,12.835512,YES
Ambulance,KA40V2034,BLS,2024-01-01T13:04:56+05:30,77.536577,12.876555,YES
Ambulance,KA51F5066,BLS,2024-01-01T13:08:37+05:30,77.543632,13.091866,YES
Ambulance,KA40K4489,Patient Transport,2024-01-01T13:13:32+05:30,77.646628,12.922171,YES
Ambulance,KA40S3812,BLS,2024-01-01T13:13:33+05:30,77.63,12.839043,YES
Ambulance,KA01H3141,ALS,2024-01-01T13:14:35+05:30,77.536426,13.001062,YES
Ambulance,KA04M6459,Patient Transport,2024-01-01T13:14:44+05:30,77.488112,13.121532,YES
Ambulance,KA40T2179,ALS,2024-01-01T13:17:43+05:30,77.700893,12.959833,NO
Ambulance,KA40A5474,Patient Transport,2024-01-01T13:20:25+05:30,77.554537,12.923431,YES
Ambulance,KA01H3141,ALS,2024-01-01T13:23:00+05:30,77.59029,13.068174,YES
Ambulance,KA51H1989,Patient Transport,2024-01-01T13:23:12+05:30,77.657034,12.890233,YES
Ambulance,KA40S3812,BLS,2024-01-01T13:25:16+05:30,77.697684,12.954641,YES
Ambulance,KA40T2179,ALS,2024-01-01T13:27:33+05:30,77.686378,12.955196,YES
Ambulance,KA51Y5446,ALS,2024-01-01T13:29:24+05:30,77.683461,12.824492,YES
Ambulance,KA51X5676,Patient Transport,2024-01-01T13:29:28+05:30,77.739186,13.093673,YES
Ambulance,KA03S4981,ALS,2024-01-01T13:29:55+05:30,77.484259,12.968589,NO
Ambulance,KA01M6465,BLS,2024-01-01T13:29:58+05:30,77.786804,13.106887,YES
Ambulance,KA51X5676,Patient Transport,2024-01-01T13:37:45+05:30,77.565169,12.95799,YES
Ambulance,KA41P6997,ALS,2024-01-01T13:38:07+05:30,77.542225,13.003014,NO
Ambulance,KA40A5474,Patient Transport,2024-01-01T13:38:29+05:30,77.683443,12.835915,YES
Ambulance,KA41Y7419,Patient Transport,2024-01-01T13:41:47+05:30,77.738666,12.966803,YES
Ambulance,KA51X5676,Patient Transport,2024-01-01T13:42:15+05:30,77.705404,12.96925,YES
Ambulance,KA40S3812,BLS,2024-01-01T13:43:38+05:30,77.6961,12.825742,YES
Ambulance,KA04D3606,BLS,2024-01-01T13:44:57+05:30,77.616856,12.941932,NO
Ambulance,KA05A7023,ALS,2024-01-01T13:47:44+05:30,77.648622,12.939847,YES
Ambulance,KA51H1989,Patient Transport,2024-01-01T13:48:30+05:30,77.506483,13.135381,NO
Ambulance,KA50K3022,ALS,2024-01-01T13:49:15+05:30,77.619603,12.898625,YES
Ambulance,KA02E1063,Patient Transport,2024-01-01T13:49:58+05:30,77.546957,12.836894,YES
Ambulance,KA03P8868,Patient Transport,2024-01-01T13:51:18+05:30,77.585158,12.937319,YES
Ambulance,KA05A7023,ALS,2024-01-01T13:51:24+05:30,77.527702,13.036289,YES
Ambulance,KA51P3128,ALS,2024-01-01T13:53:18+05:30,77.560422,12.915063,NO
Ambulance,KA03S4981,ALS,2024-01-01T13:57:01+05:30,77.642712,12.863004,YES
Ambulance,KA03W1469,Patient Transport,2024-01-01T13:59:07+05:30,77.497696,13.101255,YES
Ambulance,KA04D3606,BLS,2024-01-01T14:00:21+05:30,77.431217,12.805018,YES
Ambulance,KA03S4981,ALS,2024-01-01T14:01:15+05:30,77.583271,13.045042,YES
Ambulance,KA05F1958,BLS,2024-01-01T14:02:13+05:30,77.620882,12.951156,YES
Ambulance,KA04T7543,ALS,2024-01-01T14:05:10+05:30,77.613519,12.988594,YES
Ambulance,KA02N5926,BLS,2024-01-01T14:05:58+05:30,77.597433,12.851875,YES
Ambulance,KA50J5854,Patient Transport,2024-01-01T14:06:25+05:30,77.728145,12.961741,YES
Ambulance,KA04D1727,BLS,2024-01-01T14:09:16+05:30,77.59723,12.940141,YES
Ambulance,KA03W1469,Patient Transport,2024-01-01T14:09:18+05:30,77.517493,13.059838,NO
Ambulance,KA05R6184,BLS,2024-01-01T14:09:42+05:30,77.550284,12.868375,YES
Ambulance,KA40H1271,BLS,2024-01-01T14:12:36+05:30,77.571459,12.915118,NO
Ambulance,KA03D9708,BLS,2024-01-01T14:19:16+05:30,77.582311,13.030536,YES
Ambulance,KA05F1958,BLS,2024-01-01T14:29:20+05:30,77.432656,12.887412,YES
Ambulance,KA40A5474,Patient Transport,2024-01-01T14:29:50+05:30,77.671591,12.847751,YES
